2025-04-07 13:34:48,974 - INFO - Env 21, Goal (031.9, -27.6), Episode 00009, setp 837, Reward 9.8  , Reach Goal,
2025-04-07 13:34:48,974 - INFO - Env 20, Goal (002.3, -05.6), Episode 00009, setp 464, Reward 10.9 , Reach Goal,
2025-04-07 13:34:48,974 - INFO - Env 19, Goal (-30.4, 030.5), Episode 00009, setp 034, Reward 10.3 , Reach Goal,
2025-04-07 13:34:48,974 - INFO - Env 23, Goal (006.8, 024.1), Episode 00009, setp 488, Reward 6.9  , Reach Goal,
2025-04-07 13:34:48,974 - INFO - Env 22, Goal (-35.0, 009.0), Episode 00009, setp 190, Reward 8.8  , Reach Goal,
2025-04-07 13:35:22,576 - INFO - Env 16, Goal (030.2, 027.9), Episode 00009, setp 489, Reward 10.3 , Reach Goal,
2025-04-07 13:35:22,576 - INFO - Env 18, Goal (018.7, -33.9), Episode 00009, setp 098, Reward -149.4, Crashed,
2025-04-07 13:35:22,576 - INFO - Env 17, Goal (-19.2, -08.9), Episode 00009, setp 446, Reward 8.6  , Reach Goal,
2025-04-07 13:35:22,577 - INFO - Env 15, Goal (-06.6, -03.7), Episode 00009, setp 570, Reward 10.3 , Reach Goal,
2025-04-07 13:35:36,785 - INFO - Env 08, Goal (002.2, 017.8), Episode 00006, setp 518, Reward 10.9 , Reach Goal,
2025-04-07 13:35:36,785 - INFO - Env 06, Goal (011.7, 004.7), Episode 00006, setp 078, Reward 8.2  , Reach Goal,
2025-04-07 13:35:36,785 - INFO - Env 09, Goal (-22.7, 023.4), Episode 00006, setp 304, Reward 8.5  , Reach Goal,
2025-04-07 13:35:36,785 - INFO - Env 07, Goal (-34.9, 029.6), Episode 00006, setp 1229, Reward 9.1  , Reach Goal,
2025-04-07 13:35:37,378 - INFO - Env 19, Goal (-30.4, 030.5), Episode 00010, setp 045, Reward 9.9  , Reach Goal,
2025-04-07 13:35:37,378 - INFO - Env 20, Goal (002.3, -05.6), Episode 00010, setp 465, Reward 9.1  , Reach Goal,
2025-04-07 13:35:37,378 - INFO - Env 22, Goal (-35.0, 009.0), Episode 00010, setp 187, Reward 11.2 , Reach Goal,
2025-04-07 13:35:37,378 - INFO - Env 23, Goal (006.8, 024.1), Episode 00010, setp 387, Reward 10.0 , Reach Goal,
2025-04-07 13:35:37,385 - INFO - Env 21, Goal (031.9, -27.6), Episode 00010, setp 001, Reward -159.7, Critical Distance,
2025-04-07 13:35:46,874 - INFO - Env 03, Goal (009.4, -35.0), Episode 00008, setp 105, Reward -174.1, Crashed,
2025-04-07 13:35:46,874 - INFO - Env 01, Goal (023.2, 016.6), Episode 00008, setp 105, Reward -100.9, Crashed,
2025-04-07 13:35:46,874 - INFO - Env 04, Goal (-19.1, 006.1), Episode 00008, setp 704, Reward 8.3  , Reach Goal,
2025-04-07 13:35:46,874 - INFO - Env 02, Goal (019.3, 008.7), Episode 00008, setp 326, Reward 8.8  , Reach Goal,
2025-04-07 13:35:46,874 - INFO - Env 05, Goal (000.1, -21.5), Episode 00008, setp 001, Reward -95.5, Crashed,
2025-04-07 13:35:50,275 - INFO - Env 11, Goal (-12.0, -22.7), Episode 00007, setp 117, Reward 9.6  , Reach Goal,
2025-04-07 13:35:50,275 - INFO - Env 10, Goal (-28.2, 023.2), Episode 00007, setp 737, Reward -81.1, Crashed,
2025-04-07 13:35:50,275 - INFO - Env 12, Goal (006.7, 019.0), Episode 00007, setp 307, Reward 10.7 , Reach Goal,
2025-04-07 13:35:50,275 - INFO - Env 14, Goal (-09.3, 032.2), Episode 00007, setp 183, Reward 9.1  , Reach Goal,
2025-04-07 13:35:50,275 - INFO - Env 13, Goal (-03.3, 016.9), Episode 00007, setp 150, Reward -95.8, Critical Distance,
2025-04-07 13:36:25,784 - INFO - Env 23, Goal (006.8, 024.1), Episode 00011, setp 427, Reward 8.4  , Reach Goal,
2025-04-07 13:36:25,784 - INFO - Env 20, Goal (002.3, -05.6), Episode 00011, setp 452, Reward 10.0 , Reach Goal,
